DensE1,LongE1,LatE1
851.512187,-74.11241077,4.484694653
452.9528131,-74.10538184,4.466246948
404.4114558,-74.09024457,4.471130664
441.5619631,-74.14755079,4.47275519
437.1601297,-74.15079432,4.47058452
498.5029632,-74.12970931,4.460277146
436.6417749,-74.13944038,4.46027639
619.1546159,-74.11403181,4.467331745
601.9794656,-74.15512073,4.484148774
659.6767779,-74.12484384,4.461362653
466.345874,-74.0967323,4.480897115
423.4749305,-74.09078526,4.474928775
965.0433526,-74.1188981,4.479811019
590.288858,-74.15512113,4.487946889
395.2181263,-74.09619125,4.464076885
467.8191275,-74.12051869,4.457564799
441.5200016,-74.14214317,4.457020626
812.3031161,-74.12754751,4.470043889
